Mid,DepartmentName,AreaName,SiteName,Location,Alert,Action,SampleDate,CFU,Zone,Frequency,Action/Alert Count,Air_AirUnits.AirType,Year,Month,MonthName,DayOfYear,Season
46243,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-09,6.0,Clean,Monthly,,(CFU/160L),2023,8,August,221,Summer
46272,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-09,8.0,Clean,Monthly,,(CFU/160L),2023,8,August,221,Summer
46287,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-09,8.0,Clean,Monthly,,(CFU/160L),2023,8,August,221,Summer
46331,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-09,11.0,Clean,Monthly,,(CFU/160L),2023,8,August,221,Summer
46332,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-09,15.0,Clean,Monthly,,(CFU/160L),2023,8,August,221,Summer
46393,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-09,20.0,Clean,Monthly,,(CFU/160L),2023,8,August,221,Summer
46400,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-01-29,0.0,Clean,Monthly,,(CFU/160L),2024,1,January,29,Winter
46404,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-01-30,0.0,Clean,Monthly,,(CFU/160L),2024,1,January,30,Winter
46409,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-02,0.0,Clean,Monthly,,(CFU/160L),2024,2,February,33,Winter
46412,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-21,0.0,Clean,Monthly,,(CFU/160L),2024,2,February,52,Winter
46413,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-22,0.0,Clean,Monthly,,(CFU/160L),2024,2,February,53,Winter
46415,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-22,0.0,Clean,Monthly,,(CFU/160L),2024,3,March,82,Spring
46429,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-20,0.0,Clean,Monthly,,(CFU/160L),2024,4,April,111,Spring
46430,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-20,0.0,Clean,Monthly,,(CFU/160L),2024,4,April,111,Spring
46436,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-13,0.0,Clean,Monthly,,(CFU/160L),2024,5,May,134,Spring
46457,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-10,20.0,Clean,Monthly,,(CFU/160L),2023,8,August,222,Summer
46505,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-15,0.0,Clean,Monthly,,(CFU/160L),2024,5,May,136,Spring
46508,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-16,0.0,Clean,Monthly,,(CFU/160L),2024,5,May,137,Spring
46513,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-09-28,0.0,Clean,Monthly,,(CFU/160L),2024,9,September,272,Fall
46515,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-02,0.0,Clean,Monthly,,(CFU/160L),2024,10,October,276,Fall
46517,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-31,0.0,Clean,Monthly,,(CFU/160L),2024,10,October,305,Fall
46518,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-31,0.0,Clean,Monthly,,(CFU/160L),2024,10,October,305,Fall
46535,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-11,7.0,Clean,Monthly,,(CFU/160L),2023,8,August,223,Summer
46777,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-11,7.0,Clean,Monthly,,(CFU/160L),2023,8,August,223,Summer
46778,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-11,9.0,Clean,Monthly,,(CFU/160L),2023,8,August,223,Summer
46779,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-11,9.0,Clean,Monthly,,(CFU/160L),2023,8,August,223,Summer
46781,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-11,10.0,Clean,Monthly,,(CFU/160L),2023,8,August,223,Summer
46901,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-11,13.0,Clean,Monthly,,(CFU/160L),2023,8,August,223,Summer
46902,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-11,13.0,Clean,Monthly,,(CFU/160L),2023,8,August,223,Summer
46981,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-11,15.0,Clean,Monthly,,(CFU/160L),2023,8,August,223,Summer
46982,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-11,15.0,Clean,Monthly,,(CFU/160L),2023,8,August,223,Summer
47032,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-01-30,1.0,Clean,Monthly,,(CFU/160L),2024,1,January,30,Winter
47038,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-02,1.0,Clean,Monthly,,(CFU/160L),2024,2,February,33,Winter
47039,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-02,1.0,Clean,Monthly,,(CFU/160L),2024,2,February,33,Winter
47040,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-02,1.0,Clean,Monthly,,(CFU/160L),2024,2,February,33,Winter
47050,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-21,1.0,Clean,Monthly,,(CFU/160L),2024,3,March,81,Spring
47058,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-11,1.0,Clean,Monthly,,(CFU/160L),2024,4,April,102,Spring
47059,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-11,1.0,Clean,Monthly,,(CFU/160L),2024,4,April,102,Spring
47060,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-11,1.0,Clean,Monthly,,(CFU/160L),2024,4,April,102,Spring
47061,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-19,1.0,Clean,Monthly,,(CFU/160L),2024,4,April,110,Spring
47066,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-11,1.0,Clean,Monthly,,(CFU/160L),2024,5,May,132,Spring
47067,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-14,1.0,Clean,Monthly,,(CFU/160L),2024,5,May,135,Spring
47079,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,5.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47155,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,7.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47156,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,8.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47157,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,11.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47158,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,13.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47159,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,13.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47191,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-06-10,1.0,Clean,Monthly,,(CFU/160L),2024,6,June,162,Summer
47195,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-06-13,1.0,Clean,Monthly,,(CFU/160L),2024,6,June,165,Summer
47200,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-07-12,1.0,Clean,Monthly,,(CFU/160L),2024,7,July,194,Summer
47201,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-19,1.0,Clean,Monthly,,(CFU/160L),2024,8,August,232,Summer
47204,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-22,1.0,Clean,Monthly,,(CFU/160L),2024,8,August,235,Summer
47205,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-31,1.0,Clean,Monthly,,(CFU/160L),2024,10,October,305,Fall
47206,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-31,1.0,Clean,Monthly,,(CFU/160L),2024,10,October,305,Fall
47220,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,15.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47221,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,15.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47226,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,19.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47425,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,1.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
47517,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,4.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
