Feature,Coefficient,Odds_Ratio
SiteName_By K51,1.2394421383624004,3.45368624818639
SiteName_LFH 895,1.1749622277191183,3.2380206341031244
SiteName_By K1B,1.1532074067522649,3.1683387812237602
SiteName_By K16,1.1440413013386,3.1394301461692904
DepartmentName_QA Operations,1.031844001233375,2.8062357687704695
SiteName_Reserve Clean Air,0.9842868174564091,2.6759027965750417
AreaName_ASR Sampling,0.9783257848700067,2.6599991011233732
SiteName_By K71,0.9199933542467582,2.5092737138669667
SiteName_R08,0.897087790911058,2.452450652404119
AreaName_Creams Lab #2,0.8255830903463038,2.283211695963677
AreaName_WC 4 - Fragrance,0.8132961677151724,2.255329693284125
SiteName_By K45,0.7890219008858679,2.201242339790096
SiteName_By TS Aux01,0.7686665378340244,2.1568882065081794
Year_2023,0.7556201695597478,2.1289314124922805
SiteName_Inside East end,0.7396065185587235,2.095110965000399
SiteName_Between D04 & D05,0.724609526879616,2.0639250353546523
SiteName_By K24/25,0.7212165473690982,2.0569340468457016
Location_Filling Room,0.7204151468359558,2.055286279153063
SiteName_By K5A,0.6924245415669948,1.9985552440954468
SiteName_Between D06 & D07,0.6608615475281839,1.9364599682250319
AreaName_East Mezzanine,0.6472231365953974,1.9102290122937877
SiteName_By Aux06/07,0.6216039176719919,1.861912001756938
SiteName_By Tank 80,0.6153806556949277,1.8503608159000868
SiteName_R70,0.6143559044973292,1.8484656276520643
SiteName_By K44/45,0.6085608838581503,1.8377847091513553
SiteName_Between Reserve Clean Air & D30,0.6030036690479161,1.8276000700718973
SiteName_R18,0.5740631131497377,1.77546633639301
SiteName_R09,0.5618538064821503,1.7539209183642157
SiteName_Between D27 & D28,0.5530707640079662,1.7385836091565228
SiteName_By K41,0.5359021797893269,1.7089893626289923
Location_Room Air,0.5226104710109551,1.686424270246541
SiteName_R32,0.5020955279331623,1.6521798346699683
SiteName_By K31,0.4864582008010106,1.626545109764666
SiteName_By K32,0.48026340888891544,1.616500146625552
SiteName_Culture Bench 2,0.47446449085799774,1.6071533217065574
Location_Center,0.46494474006759273,1.5919262167213222
DepartmentName_Biofermentation,0.46494474006759273,1.5919262167213222
SiteName_By K29,0.4487959527223287,1.5664249998310606
AreaName_Creams Lab #1B,0.4285374203146242,1.5350108053258675
SiteName_R02,0.4232324371062408,1.5268891604210242
SiteName_R27,0.42312599678315255,1.5267266464946398
SiteName_By K43,0.41772079214795144,1.5184966390230663
Location_Near Kettle,0.41291509250547165,1.5112167068621762
SiteName_Culture Bench 1,0.38671286798870114,1.4721337338625422
AreaName_<1> Controlled Lab (#2320),0.3814541368462927,1.4644124980957243
SiteName_By K40,0.3736491480445795,1.4530272635579766
Location_AGI HEPA Filling Area,0.3259693591286291,1.3853729191890227
SiteName_AGI HEPA Filling Area,0.3259693591286291,1.3853729191890227
SiteName_R04,0.3101241891670265,1.3635944472758583
SiteName_R31,0.30739069248942597,1.3598721561376126
SiteName_By K44,0.3010174606979749,1.3512329348022059
AreaName_Makeup #2,0.30059683619369537,1.3506646926355064
SiteName_R06,0.2932361543610895,1.3407593792228734
SiteName_By K66/67,0.2862672316167662,1.3314482127738858
SiteName_R65,0.2770378868808998,1.3192163510809334
SiteName_R55,0.2745014764349689,1.315874516870815
SiteName_R33,0.26819645718714746,1.307604002987151
SiteName_R63,0.2626008775282399,1.3003076333725752
AreaName_(BF) Room #2,0.2562936707604265,1.2921321336530565
SiteName_By K63,0.2562936707604265,1.2921321336530565
AreaName_Eye Products Lab,0.25236769199665926,1.2870691953335667
SiteName_R30,0.24433234155142136,1.2767685832389009
SiteName_Inside West end,0.2387192663112824,1.2696220608643822
SiteName_NIRO,0.22797816800277215,1.256057902880347
SiteName_R64,0.22431271796949,1.251462312996322
SiteName_R03,0.21928142639369608,1.24518165436494
Season_Summer,0.21855261655575398,1.244274484342587
SiteName_Center of Micro Lab,0.2129403015515293,1.2373107835046766
AreaName_(BF) Micro Lab,0.2129403015515293,1.2373107835046766
DepartmentName_Compounding,0.19611141484768882,1.2166624520450013
SiteName_R51,0.17303857940397432,1.1889119717145196
SiteName_By K5B,0.17248061618943492,1.1882487876023522
Season_Fall,0.1654821488543954,1.179961898859789
SiteName_Tote Wash Room,0.15971575320080503,1.1731773516860535
AreaName_Tote Wash Room,0.15971575320080503,1.1731773516860535
SiteName_Production Wash Room,0.15059524964890558,1.1625260300260003
AreaName_Wash Room,0.15059524964890558,1.1625260300260003
Location_By Drop,0.14327904152488669,1.154051785110461
DepartmentName_Mezzanine,0.14327904152488669,1.154051785110461
AreaName_Creams Lab #5,0.13832226963189875,1.1483455675516578
AreaName_Creams Lab #3,0.13701282142278826,1.146842852583219
SiteName_By K1A,0.13700148133338846,1.1468298473564837
Air_AirUnits.AirType_(CFU/1000L),0.130755220774269,1.1396887750299864
AreaName_Room #1 (Liquid),0.13061522546105728,1.1395292351106432
SiteName_Room #1,0.13061522546105728,1.1395292351106432
SiteName_By K4B,0.12091128151735624,1.1285247869191994
SiteName_By K MU-02,0.09618048410878505,1.100957751442055
AreaName_RM #1/2 Pre-weigh Hallway,0.09214854004045431,1.096527688251616
SiteName_Pre-weigh Hallway,0.09214854004045431,1.096527688251616
Location_Center of Room,0.0835624491674872,1.0871531049793652
SiteName_By K58/57,0.07316242445672558,1.0759052760533157
AreaName_(BF) Room #1,0.07316242445672558,1.0759052760533157
AreaName_West Mezzanine,0.06658910740758346,1.068856202837185
AreaName_<4>Main Lab (#2318),0.06251835411549127,1.0645139969513993
SiteName_Melville RM Sampling Area,0.05351821636337404,1.0549762094225346
SiteName_R01,0.05276404055580979,1.0541808718377128
AreaName_(BF) Room #3,0.02253519420239962,1.0227910298455394
